Geneid,Liv_1A_Mal,Liv_1B_Mal,Liv_2A_Mal,Liv_2B_Mal,Liv_3A_Mal,Liv_3B_Mal,Liv_4A_Fem,Liv_4B_Fem,Liv_5A_Fem,Liv_5B_Fem,Liv_6A_Fem,Liv_6B_Fem,Panc_1A_Mal,Panc_1B_Mal,Panc_2A_Mal,Panc_2B_Mal,Panc_3A_Mal,Panc_3B_Mal,Panc_4A_Fem,Panc_4B_Fem,Panc_5A_Fem,Panc_5B_Fem,Panc_6A_Fem,Panc_6B_Fem
Xkr4,0,0,0,2,4,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,6,6,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Sox17,119,75,156,146,101,73,105,110,122,92,138,166,6,72,31,37,50,31,34,60,77,53,201,61
Mrpl15,2451,2135,2068,2152,2017,2258,2454,2662,1929,2998,2833,2219,600,508,827,562,609,431,589,462,3216,510,945,362
Lypla1,6673,5166,4763,5208,5501,5391,5996,6595,3580,6169,6235,6297,647,681,776,728,510,502,636,536,9273,475,1738,453
Tcea1,1340,1394,1043,1393,1499,1307,1586,1657,1199,1516,1787,1356,424,550,599,762,626,458,633,520,2731,697,2355,390
Rgs20,10,4,0,0,3,2,3,4,3,2,0,2,4,1,0,2,4,0,1,5,7,2,9,3
Atp6v1h,1571,2055,1514,1571,1424,1957,1382,1992,1054,1913,1442,2524,396,500,472,523,380,361,388,272,1920,420,1141,412
Oprk1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,2,2,4,6,4
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Rb1cc1,1258,1094,1035,883,1044,1009,1023,1076,1382,840,1260,1052,374,464,434,462,410,342,433,345,1635,436,1393,313
Fam150a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
St18,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,4,4,0,2,9,31,7,4,2
