Gene,Expression,Sex,Strain,Glands
Klk1,139547,Mal,CD1,Par
Klk1,102363,Mal,C57,Par
Klk1,137584,Mal,CD1,Par
Klk1,81060,Mal,C57,Par
Klk1,197794,Mal,CD1,Par
Klk1,67981,Mal,C57,Par
Klk1,155882,Fem,CD1,Par
Klk1,83117,Fem,C57,Par
Klk1,36628,Fem,CD1,Par
Klk1,40164,Fem,C57,Par
Klk1,99517,Fem,CD1,Par
Klk1,70940,Fem,C57,Par
Klk1,156393,Mal,CD1,SL
Klk1,83602,Mal,C57,SL
Klk1,99035,Mal,CD1,SL
Klk1,226967,Mal,C57,SL
Klk1,76451,Mal,CD1,SL
Klk1,76978,Mal,C57,SL
Klk1,89161,Fem,CD1,SL
Klk1,71382,Fem,C57,SL
Klk1,72895,Fem,CD1,SL
Klk1,92945,Fem,C57,SL
Klk1,76371,Fem,CD1,SL
Klk1,56782,Fem,C57,SL
Klk1,166400,Mal,CD1,SM
Klk1,211853,Mal,C57,SM
Klk1,170046,Mal,CD1,SM
Klk1,310336,Mal,C57,SM
Klk1,245255,Mal,CD1,SM
Klk1,271087,Mal,C57,SM
Klk1,573060,Fem,CD1,SM
Klk1,101346,Fem,C57,SM
Klk1,330144,Fem,CD1,SM
Klk1,774321,Fem,C57,SM
Klk1,588057,Fem,CD1,SM
Klk1,744502,Fem,C57,SM
Klk1,5732,Mal,CD1,Liv
Klk1,4379,Mal,C57,Liv
Klk1,5932,Mal,CD1,Liv
Klk1,5257,Mal,C57,Liv
Klk1,5297,Mal,CD1,Liv
Klk1,3496,Mal,C57,Liv
Klk1,3451,Fem,CD1,Liv
Klk1,4370,Fem,C57,Liv
Klk1,3163,Fem,CD1,Liv
Klk1,6795,Fem,C57,Liv
Klk1,4762,Fem,CD1,Liv
Klk1,2243,Fem,C57,Liv
Klk1,172148,Mal,CD1,Panc
Klk1,263283,Mal,C57,Panc
Klk1,213252,Mal,CD1,Panc
Klk1,312380,Mal,C57,Panc
Klk1,130348,Mal,CD1,Panc
Klk1,195095,Mal,C57,Panc
Klk1,134280,Fem,CD1,Panc
Klk1,230688,Fem,C57,Panc
Klk1,4915,Fem,CD1,Panc
Klk1,235397,Fem,C57,Panc
Klk1,56903,Fem,CD1,Panc
Klk1,224143,Fem,C57,Panc
Klk4,2,Mal,CD1,Par
Klk4,0,Mal,C57,Par
Klk4,0,Mal,CD1,Par
Klk4,0,Mal,C57,Par
Klk4,0,Mal,CD1,Par
Klk4,0,Mal,C57,Par
Klk4,0,Fem,CD1,Par
Klk4,0,Fem,C57,Par
Klk4,4,Fem,CD1,Par
Klk4,0,Fem,C57,Par
Klk4,0,Fem,CD1,Par
Klk4,0,Fem,C57,Par
Klk4,0,Mal,CD1,SL
Klk4,0,Mal,C57,SL
Klk4,0,Mal,CD1,SL
Klk4,0,Mal,C57,SL
Klk4,0,Mal,CD1,SL
Klk4,0,Mal,C57,SL
Klk4,0,Fem,CD1,SL
Klk4,0,Fem,C57,SL
Klk4,0,Fem,CD1,SL
Klk4,0,Fem,C57,SL
Klk4,0,Fem,CD1,SL
Klk4,0,Fem,C57,SL
Klk4,0,Mal,CD1,SM
Klk4,1,Mal,C57,SM
Klk4,0,Mal,CD1,SM
Klk4,0,Mal,C57,SM
Klk4,0,Mal,CD1,SM
Klk4,0,Mal,C57,SM
Klk4,0,Fem,CD1,SM
Klk4,0,Fem,C57,SM
Klk4,0,Fem,CD1,SM
Klk4,0,Fem,C57,SM
Klk4,0,Fem,CD1,SM
