Gene,Expression,Sex,Strain,Glands
Klk1b21,1842,Mal,CD1,Par
Klk1b21,1111,Mal,C57,Par
Klk1b21,689,Mal,CD1,Par
Klk1b21,896,Mal,C57,Par
Klk1b21,1022,Mal,CD1,Par
Klk1b21,161,Mal,C57,Par
Klk1b21,306,Fem,CD1,Par
Klk1b21,60,Fem,C57,Par
Klk1b21,555,Fem,CD1,Par
Klk1b21,291,Fem,C57,Par
Klk1b21,1216,Fem,CD1,Par
Klk1b21,216,Fem,C57,Par
Klk1b21,4025,Mal,CD1,SL
Klk1b21,692,Mal,C57,SL
Klk1b21,2042,Mal,CD1,SL
Klk1b21,82932,Mal,C57,SL
Klk1b21,1217,Mal,CD1,SL
Klk1b21,118,Mal,C57,SL
Klk1b21,1731,Fem,CD1,SL
Klk1b21,347,Fem,C57,SL
Klk1b21,858,Fem,CD1,SL
Klk1b21,358,Fem,C57,SL
Klk1b21,867,Fem,CD1,SL
Klk1b21,523,Fem,C57,SL
Klk1b21,161553,Mal,CD1,SM
Klk1b21,172309,Mal,C57,SM
Klk1b21,350502,Mal,CD1,SM
Klk1b21,164316,Mal,C57,SM
Klk1b21,193299,Mal,CD1,SM
Klk1b21,97561,Mal,C57,SM
Klk1b21,5588,Fem,CD1,SM
Klk1b21,803,Fem,C57,SM
Klk1b21,4053,Fem,CD1,SM
Klk1b21,4512,Fem,C57,SM
Klk1b21,6560,Fem,CD1,SM
Klk1b21,5732,Fem,C57,SM
Klk1b21,2115,Mal,CD1,Liv
Klk1b21,979,Mal,C57,Liv
Klk1b21,1448,Mal,CD1,Liv
Klk1b21,1508,Mal,C57,Liv
Klk1b21,768,Mal,CD1,Liv
Klk1b21,134,Mal,C57,Liv
Klk1b21,27,Fem,CD1,Liv
Klk1b21,35,Fem,C57,Liv
Klk1b21,290,Fem,CD1,Liv
Klk1b21,107,Fem,C57,Liv
Klk1b21,784,Fem,CD1,Liv
Klk1b21,15,Fem,C57,Liv
Klk1b21,1632,Mal,CD1,Panc
Klk1b21,860,Mal,C57,Panc
Klk1b21,2427,Mal,CD1,Panc
Klk1b21,1060,Mal,C57,Panc
Klk1b21,2350,Mal,CD1,Panc
Klk1b21,192,Mal,C57,Panc
Klk1b21,195,Fem,CD1,Panc
Klk1b21,391,Fem,C57,Panc
Klk1b21,22,Fem,CD1,Panc
Klk1b21,665,Fem,C57,Panc
Klk1b21,757,Fem,CD1,Panc
Klk1b21,163,Fem,C57,Panc
Klk1b22,2826,Mal,CD1,Par
Klk1b22,2847,Mal,C57,Par
Klk1b22,1048,Mal,CD1,Par
Klk1b22,2205,Mal,C57,Par
Klk1b22,1742,Mal,CD1,Par
Klk1b22,334,Mal,C57,Par
Klk1b22,606,Fem,CD1,Par
Klk1b22,217,Fem,C57,Par
Klk1b22,979,Fem,CD1,Par
Klk1b22,709,Fem,C57,Par
Klk1b22,2307,Fem,CD1,Par
Klk1b22,635,Fem,C57,Par
Klk1b22,5755,Mal,CD1,SL
Klk1b22,1581,Mal,C57,SL
Klk1b22,3361,Mal,CD1,SL
Klk1b22,227986,Mal,C57,SL
Klk1b22,1820,Mal,CD1,SL
Klk1b22,193,Mal,C57,SL
Klk1b22,2285,Fem,CD1,SL
Klk1b22,788,Fem,C57,SL
Klk1b22,1324,Fem,CD1,SL
Klk1b22,1046,Fem,C57,SL
Klk1b22,1835,Fem,CD1,SL
Klk1b22,1026,Fem,C57,SL
Klk1b22,258870,Mal,CD1,SM
Klk1b22,446058,Mal,C57,SM
Klk1b22,555532,Mal,CD1,SM
Klk1b22,447164,Mal,C57,SM
Klk1b22,282850,Mal,CD1,SM
Klk1b22,268845,Mal,C57,SM
Klk1b22,4350,Fem,CD1,SM
Klk1b22,2134,Fem,C57,SM
Klk1b22,6599,Fem,CD1,SM
Klk1b22,16994,Fem,C57,SM
Klk1b22,14770,Fem,CD1,SM
Klk1b22,16827,Fem,C57,SM
Klk1b22,3116,Mal,CD1,Liv
Klk1b22,1933,Mal,C57,Liv
Klk1b22,2125,Mal,CD1,Liv
Klk1b22,3184,Mal,C57,Liv
Klk1b22,1032,Mal,CD1,Liv
Klk1b22,233,Mal,C57,Liv
Klk1b22,36,Fem,CD1,Liv
Klk1b22,46,Fem,C57,Liv
Klk1b22,810,Fem,CD1,Liv
Klk1b22,339,Fem,C57,Liv
Klk1b22,1959,Fem,CD1,Liv
Klk1b22,12,Fem,C57,Liv
Klk1b22,2725,Mal,CD1,Panc
Klk1b22,2130,Mal,C57,Panc
Klk1b22,3716,Mal,CD1,Panc
Klk1b22,2905,Mal,C57,Panc
Klk1b22,3532,Mal,CD1,Panc
Klk1b22,466,Mal,C57,Panc
Klk1b22,314,Fem,CD1,Panc
Klk1b22,657,Fem,C57,Panc
Klk1b22,48,Fem,CD1,Panc
Klk1b22,1027,Fem,C57,Panc
Klk1b22,1765,Fem,CD1,Panc
